datalogger,elapsed,date,time,temperatura,
DAT10C,09:36:00,19/05/2014,23:10:09,  5.0,
DAT10C,09:39:00,19/05/2014,23:13:09,  5.0,
DAT10C,09:42:00,19/05/2014,23:16:09,  4.8,
DAT10C,09:45:00,19/05/2014,23:19:09,  4.6,
DAT10C,09:48:00,19/05/2014,23:22:09,  4.5,
DAT10C,09:51:00,19/05/2014,23:25:09,  4.3,
DAT10C,09:54:00,19/05/2014,23:28:09,  4.3,
DAT10C,09:57:00,19/05/2014,23:31:09,  4.3,
DAT10C,10:00:00,19/05/2014,23:34:09,  4.1,
DAT10C,10:03:00,19/05/2014,23:37:09,  4.0,
DAT10C,10:06:00,19/05/2014,23:40:09,  4.0,
DAT10C,10:09:00,19/05/2014,23:43:09,  4.0,
DAT10C,10:12:00,19/05/2014,23:46:09,  4.0,
DAT10C,10:15:00,19/05/2014,23:49:09,  3.8,
DAT10C,10:18:00,19/05/2014,23:52:09,  3.7,
DAT10C,10:21:00,19/05/2014,23:55:09,  3.6,
DAT10C,10:24:00,19/05/2014,23:58:09,  3.7,
DAT10C,10:27:00,20/05/2014,00:01:09,  3.7,
DAT10C,10:30:00,20/05/2014,00:04:09,  3.7,
DAT10C,10:33:00,20/05/2014,00:07:09,  3.7,
DAT10C,10:36:00,20/05/2014,00:10:09,  3.6,
DAT10C,10:39:00,20/05/2014,00:13:09,  3.3,
DAT10C,10:42:00,20/05/2014,00:16:09,  3.3,
DAT10C,10:45:00,20/05/2014,00:19:09,  3.7,
DAT10C,10:48:00,20/05/2014,00:22:09,  4.0,
DAT10C,10:51:00,20/05/2014,00:25:09,  4.0,
DAT10C,10:54:00,20/05/2014,00:28:09,  4.1,
DAT10C,10:57:00,20/05/2014,00:31:09,  4.2,
DAT10C,11:00:00,20/05/2014,00:34:09,  4.6,
DAT10C,11:03:00,20/05/2014,00:37:09,  4.8,
DAT10C,11:06:00,20/05/2014,00:40:09,  5.0,
DAT10C,11:09:00,20/05/2014,00:43:09,  5.0,
DAT10C,11:12:00,20/05/2014,00:46:09,  5.0,
DAT10C,11:15:00,20/05/2014,00:49:09,  5.0,
DAT10C,11:18:00,20/05/2014,00:52:09,  4.8,
DAT10C,11:21:00,20/05/2014,00:55:09,  4.8,
DAT10C,11:24:00,20/05/2014,00:58:09,  4.7,
DAT10C,11:27:00,20/05/2014,01:01:09,  4.7,
DAT10C,11:30:00,20/05/2014,01:04:09,  4.6,
DAT10C,11:33:00,20/05/2014,01:07:09,  4.1,
DAT10C,11:36:00,20/05/2014,01:10:09,  3.7,
DAT10C,11:39:00,20/05/2014,01:13:09,  3.6,
DAT10C,11:42:00,20/05/2014,01:16:09,  3.8,
DAT10C,11:45:00,20/05/2014,01:19:09,  4.0,
DAT10C,11:48:00,20/05/2014,01:22:09,  4.0,
DAT10C,11:51:00,20/05/2014,01:25:09,  3.8,
DAT10C,11:54:00,20/05/2014,01:28:09,  3.8,
DAT10C,11:57:00,20/05/2014,01:31:09,  3.8,
DAT10C,12:00:00,20/05/2014,01:34:09,  3.8,
DAT10C,12:03:00,20/05/2014,01:37:09,  3.7,
DAT10C,12:06:00,20/05/2014,01:40:09,  3.7,
DAT10C,12:09:00,20/05/2014,01:43:09,  3.8,
DAT10C,12:12:00,20/05/2014,01:46:09,  3.6,
DAT10C,12:15:00,20/05/2014,01:49:09,  3.6,
DAT10C,12:18:00,20/05/2014,01:52:09,  3.7,
DAT10C,12:21:00,20/05/2014,01:55:09,  3.7,
DAT10C,12:24:00,20/05/2014,01:58:09,  3.5,
DAT10C,12:27:00,20/05/2014,02:01:09,  3.6,
DAT10C,12:30:00,20/05/2014,02:04:09,  3.6,
DAT10C,12:33:00,20/05/2014,02:07:09,  3.5,
DAT10C,12:36:00,20/05/2014,02:10:09,  3.3,
DAT10C,12:39:00,20/05/2014,02:13:09,  3.5,
DAT10C,12:42:00,20/05/2014,02:16:09,  3.5,
DAT10C,12:45:00,20/05/2014,02:19:09,  3.3,
DAT10C,12:48:00,20/05/2014,02:22:09,  3.2,
DAT10C,12:51:00,20/05/2014,02:25:09,  3.6,
DAT10C,12:54:00,20/05/2014,02:28:09,  3.7,
DAT10C,12:57:00,20/05/2014,02:31:09,  4.0,
DAT10C,13:00:00,20/05/2014,02:34:09,  4.3,
DAT10C,13:03:00,20/05/2014,02:37:09,  4.5,
DAT10C,13:06:00,20/05/2014,02:40:09,  4.7,
DAT10C,13:09:00,20/05/2014,02:43:09,  5.0,
DAT10C,13:12:00,20/05/2014,02:46:09,  4.8,
DAT10C,13:15:00,20/05/2014,02:49:09,  4.7,
DAT10C,13:18:00,20/05/2014,02:52:09,  4.6,
DAT10C,13:21:00,20/05/2014,02:55:09,  4.5,
DAT10C,13:24:00,20/05/2014,02:58:09,  4.2,
DAT10C,13:27:00,20/05/2014,03:01:09,  4.5,
DAT10C,13:30:00,20/05/2014,03:04:09,  4.7,
DAT10C,13:33:00,20/05/2014,03:07:09,  4.7,
DAT10C,13:36:00,20/05/2014,03:10:09,  4.8,
DAT10C,13:39:00,20/05/2014,03:13:09,  4.7,
DAT10C,13:42:00,20/05/2014,03:16:09,  4.5,
DAT10C,13:45:00,20/05/2014,03:19:09,  4.3,
DAT10C,13:48:00,20/05/2014,03:22:09,  4.3,
DAT10C,13:51:00,20/05/2014,03:25:09,  4.3,
DAT10C,13:54:00,20/05/2014,03:28:09,  4.1,
DAT10C,13:57:00,20/05/2014,03:31:09,  4.1,
DAT10C,14:00:00,20/05/2014,03:34:09,  4.1,
DAT10C,14:03:00,20/05/2014,03:37:09,  4.0,
DAT10C,14:06:00,20/05/2014,03:40:09,  4.0,
DAT10C,14:09:00,20/05/2014,03:43:09,  4.0,
DAT10C,14:12:00,20/05/2014,03:46:09,  4.0,
DAT10C,14:15:00,20/05/2014,03:49:09,  3.7,
DAT10C,14:18:00,20/05/2014,03:52:09,  3.7,
DAT10C,14:21:00,20/05/2014,03:55:09,  4.0,
DAT10C,14:24:00,20/05/2014,03:58:09,  4.1,
DAT10C,14:27:00,20/05/2014,04:01:09,  4.5,
DAT10C,14:30:00,20/05/2014,04:04:09,  4.7,
DAT10C,14:33:00,20/05/2014,04:07:09,  4.6,
DAT10C,14:36:00,20/05/2014,04:10:09,  4.3,
DAT10C,14:39:00,20/05/2014,04:13:09,  4.1,
DAT10C,14:42:00,20/05/2014,04:16:09,  4.0,
DAT10C,14:45:00,20/05/2014,04:19:09,  3.7,
DAT10C,14:48:00,20/05/2014,04:22:09,  3.7,
DAT10C,14:51:00,20/05/2014,04:25:09,  3.7,
DAT10C,14:54:00,20/05/2014,04:28:09,  3.6,
DAT10C,14:57:00,20/05/2014,04:31:09,  3.6,
DAT10C,15:00:00,20/05/2014,04:34:09,  3.6,
DAT10C,15:03:00,20/05/2014,04:37:09,  3.5,
DAT10C,15:06:00,20/05/2014,04:40:09,  3.5,
DAT10C,15:09:00,20/05/2014,04:43:09,  3.5,
DAT10C,15:12:00,20/05/2014,04:46:09,  3.5,
DAT10C,15:15:00,20/05/2014,04:49:09,  3.3,
DAT10C,15:18:00,20/05/2014,04:52:09,  3.6,
DAT10C,15:21:00,20/05/2014,04:55:09,  3.8,
DAT10C,15:24:00,20/05/2014,04:58:09,  3.8,
DAT10C,15:27:00,20/05/2014,05:01:09,  4.2,
DAT10C,15:30:00,20/05/2014,05:04:09,  4.6,
DAT10C,15:33:00,20/05/2014,05:07:09,  4.6,
DAT10C,15:36:00,20/05/2014,05:10:09,  5.0,
DAT10C,15:39:00,20/05/2014,05:13:09,  5.0,
DAT10C,15:42:00,20/05/2014,05:16:09,  4.7,
DAT10C,15:45:00,20/05/2014,05:19:09,  4.6,
DAT10C,15:48:00,20/05/2014,05:22:09,  4.3,
DAT10C,15:51:00,20/05/2014,05:25:09,  4.2,
DAT10C,15:54:00,20/05/2014,05:28:09,  4.5,
DAT10C,15:57:00,20/05/2014,05:31:09,  4.7,
DAT10C,16:00:00,20/05/2014,05:34:09,  4.7,
DAT10C,16:03:00,20/05/2014,05:37:09,  4.8,
DAT10C,16:06:00,20/05/2014,05:40:09,  4.8,
DAT10C,16:09:00,20/05/2014,05:43:09,  4.6,
DAT10C,16:12:00,20/05/2014,05:46:09,  4.5,
DAT10C,16:15:00,20/05/2014,05:49:09,  4.5,
DAT10C,16:18:00,20/05/2014,05:52:09,  4.3,
DAT10C,16:21:00,20/05/2014,05:55:09,  4.1,
DAT10C,16:24:00,20/05/2014,05:58:09,  4.1,
DAT10C,16:27:00,20/05/2014,06:01:09,  4.1,
DAT10C,16:30:00,20/05/2014,06:04:09,  4.0,
DAT10C,16:33:00,20/05/2014,06:07:09,  3.8,
DAT10C,16:36:00,20/05/2014,06:10:09,  3.8,
DAT10C,16:39:00,20/05/2014,06:13:09,  3.8,
DAT10C,16:42:00,20/05/2014,06:16:09,  3.7,
DAT10C,16:45:00,20/05/2014,06:19:09,  3.7,
DAT10C,16:48:00,20/05/2014,06:22:09,  3.7,
DAT10C,16:51:00,20/05/2014,06:25:09,  3.7,
DAT10C,16:54:00,20/05/2014,06:28:09,  3.6,
DAT10C,16:57:00,20/05/2014,06:31:09,  3.5,
DAT10C,17:00:00,20/05/2014,06:34:09,  3.5,
DAT10C,17:03:00,20/05/2014,06:37:09,  3.6,
DAT10C,17:06:00,20/05/2014,06:40:09,  3.5,
DAT10C,17:09:00,20/05/2014,06:43:09,  3.2,
DAT10C,17:12:00,20/05/2014,06:46:09,  3.6,
DAT10C,17:15:00,20/05/2014,06:49:09,  3.8,
DAT10C,17:18:00,20/05/2014,06:52:09,  4.0,
DAT10C,17:21:00,20/05/2014,06:55:09,  4.0,
DAT10C,17:24:00,20/05/2014,06:58:09,  4.3,
DAT10C,17:27:00,20/05/2014,07:01:09,  4.7,
DAT10C,17:30:00,20/05/2014,07:04:09,  4.8,
DAT10C,17:33:00,20/05/2014,07:07:09,  4.8,
DAT10C,17:36:00,20/05/2014,07:10:09,  5.1,
DAT10C,17:39:00,20/05/2014,07:13:09,  4.7,
DAT10C,17:42:00,20/05/2014,07:16:09,  4.2,
DAT10C,17:45:00,20/05/2014,07:19:09,  4.1,
DAT10C,17:48:00,20/05/2014,07:22:09,  4.0,
DAT10C,17:51:00,20/05/2014,07:25:09,  3.7,
DAT10C,17:54:00,20/05/2014,07:28:09,  3.7,
DAT10C,17:57:00,20/05/2014,07:31:09,  3.7,
DAT10C,18:00:00,20/05/2014,07:34:09,  3.7,
DAT10C,18:03:00,20/05/2014,07:37:09,  3.7,
DAT10C,18:06:00,20/05/2014,07:40:09,  3.5,
DAT10C,18:09:00,20/05/2014,07:43:09,  3.3,
DAT10C,18:12:00,20/05/2014,07:46:09,  3.5,
DAT10C,18:15:00,20/05/2014,07:49:09,  3.8,
DAT10C,18:18:00,20/05/2014,07:52:09,  4.0,
DAT10C,18:21:00,20/05/2014,07:55:09,  4.1,
DAT10C,18:24:00,20/05/2014,07:58:09,  4.1,
DAT10C,18:27:00,20/05/2014,08:01:09,  4.5,
DAT10C,18:30:00,20/05/2014,08:04:09,  4.8,
DAT10C,18:33:00,20/05/2014,08:07:09,  4.8,
DAT10C,18:36:00,20/05/2014,08:10:09,  4.8,
DAT10C,18:39:00,20/05/2014,08:13:09,  5.1,
DAT10C,18:42:00,20/05/2014,08:16:09,  4.7,
DAT10C,18:45:00,20/05/2014,08:19:09,  4.2,
DAT10C,18:48:00,20/05/2014,08:22:09,  4.1,
DAT10C,18:51:00,20/05/2014,08:25:09,  4.1,
DAT10C,18:54:00,20/05/2014,08:28:09,  3.8,
DAT10C,18:57:00,20/05/2014,08:31:09,  3.7,
DAT10C,19:00:00,20/05/2014,08:34:09,  3.7,
DAT10C,19:03:00,20/05/2014,08:37:09,  3.7,
DAT10C,19:06:00,20/05/2014,08:40:09,  3.7,
DAT10C,19:09:00,20/05/2014,08:43:09,  3.7,
DAT10C,19:12:00,20/05/2014,08:46:09,  3.7,
DAT10C,19:15:00,20/05/2014,08:49:09,  3.3,
DAT10C,19:18:00,20/05/2014,08:52:09,  3.2,
DAT10C,19:21:00,20/05/2014,08:55:09,  3.2,
DAT10C,19:24:00,20/05/2014,08:58:09,  3.6,
DAT10C,19:27:00,20/05/2014,09:01:09,  4.1,
DAT10C,19:30:00,20/05/2014,09:04:09,  4.2,
DAT10C,19:33:00,20/05/2014,09:07:09,  4.8,
DAT10C,19:36:00,20/05/2014,09:10:09,  4.8,
DAT10C,19:39:00,20/05/2014,09:13:09,  4.8,
DAT10C,19:42:00,20/05/2014,09:16:09,  4.6,
DAT10C,19:45:00,20/05/2014,09:19:09,  4.3,
DAT10C,19:48:00,20/05/2014,09:22:09,  4.2,
DAT10C,19:51:00,20/05/2014,09:25:09,  4.2,
DAT10C,19:54:00,20/05/2014,09:28:09,  4.0,
DAT10C,19:57:00,20/05/2014,09:31:09,  4.2,
DAT10C,20:00:00,20/05/2014,09:34:09,  4.6,
DAT10C,20:03:00,20/05/2014,09:37:09,  4.7,
DAT10C,20:06:00,20/05/2014,09:40:09,  5.1,
DAT10C,20:09:00,20/05/2014,09:43:09,  5.0,
DAT10C,20:12:00,20/05/2014,09:46:09,  5.0,
DAT10C,20:15:00,20/05/2014,09:49:09,  4.7,
DAT10C,20:18:00,20/05/2014,09:52:09,  4.6,
DAT10C,20:21:00,20/05/2014,09:55:09,  5.0,
DAT10C,20:24:00,20/05/2014,09:58:09,  4.8,
DAT10C,20:27:00,20/05/2014,10:01:09,  5.1,
DAT10C,20:30:00,20/05/2014,10:04:09,  5.1,
DAT10C,20:33:00,20/05/2014,10:07:09,  5.0,
DAT10C,20:36:00,20/05/2014,10:10:09,  4.8,
DAT10C,20:39:00,20/05/2014,10:13:09,  4.6,
DAT10C,20:42:00,20/05/2014,10:16:09,  4.2,
DAT10C,20:45:00,20/05/2014,10:19:09,  4.1,
DAT10C,20:48:00,20/05/2014,10:22:09,  3.8,
DAT10C,20:51:00,20/05/2014,10:25:09,  3.8,
DAT10C,20:54:00,20/05/2014,10:28:09,  4.0,
DAT10C,20:57:00,20/05/2014,10:31:09,  3.8,
DAT10C,21:00:00,20/05/2014,10:34:09,  3.8,
DAT10C,21:03:00,20/05/2014,10:37:09,  3.8,
DAT10C,21:06:00,20/05/2014,10:40:09,  3.8,
DAT10C,21:09:00,20/05/2014,10:43:09,  3.7,
DAT10C,21:12:00,20/05/2014,10:46:09,  3.8,
DAT10C,21:15:00,20/05/2014,10:49:09,  3.8,
DAT10C,21:18:00,20/05/2014,10:52:09,  3.7,
DAT10C,21:21:00,20/05/2014,10:55:09,  3.8,
DAT10C,21:24:00,20/05/2014,10:58:09,  4.1,
DAT10C,21:27:00,20/05/2014,11:01:09,  4.1,
DAT10C,21:30:00,20/05/2014,11:04:09,  4.2,
DAT10C,21:33:00,20/05/2014,11:07:09,  4.2,
DAT10C,21:36:00,20/05/2014,11:10:09,  4.1,
DAT10C,21:39:00,20/05/2014,11:13:09,  4.1,
DAT10C,21:42:00,20/05/2014,11:16:09,  4.1,
DAT10C,21:45:00,20/05/2014,11:19:09,  4.2,
DAT10C,21:48:00,20/05/2014,11:22:09,  4.2,
DAT10C,21:51:00,20/05/2014,11:25:09,  4.1,
DAT10C,21:54:00,20/05/2014,11:28:09,  4.0,
DAT10C,21:57:00,20/05/2014,11:31:09,  4.1,
DAT10C,22:00:00,20/05/2014,11:34:09,  4.1,
DAT10C,22:03:00,20/05/2014,11:37:09,  4.0,
DAT10C,22:06:00,20/05/2014,11:40:09,  4.0,
DAT10C,22:09:00,20/05/2014,11:43:09,  4.0,
DAT10C,22:12:00,20/05/2014,11:46:09,  4.1,
DAT10C,22:15:00,20/05/2014,11:49:09,  4.1,
DAT10C,22:18:00,20/05/2014,11:52:09,  4.0,
DAT10C,22:21:00,20/05/2014,11:55:09,  3.8,
DAT10C,22:24:00,20/05/2014,11:58:09,  3.8,
